acc,acc_sem,cost,cost_sem,epoch,flop,flop_sem,time,time_sem,train_loss,train_loss_sem,val_loss,val_loss_sem
83.81,0.37,100.0,0.0,1,41407104.0,0.0,0.0031,0.0,6.8498,0.0,2.7762,0.03
82.47,0.38,96.8441,0.16,2,40100337.8656,67430.87,0.0031,0.0,6.7953,0.0,2.7242,0.03
83.81,0.37,100.0,0.0,1,41407104.0,0.0,0.0031,0.0,6.8498,0.0,2.7762,0.03
82.1,0.38,94.7954,0.21,3,39252022.8336,85532.55,0.003,0.0,6.7809,0.0,2.6509,0.03
82.47,0.38,96.8441,0.16,2,40100337.8656,67430.87,0.0031,0.0,6.7953,0.0,2.7242,0.03
80.53,0.4,93.1564,0.23,4,38573370.808,97094.25,0.003,0.0,6.7613,0.0,2.6981,0.03
82.1,0.38,94.7954,0.21,3,39252022.8336,85532.55,0.0031,0.0,6.7809,0.0,2.6509,0.03
80.71,0.39,92.7362,0.24,5,38399378.2368,99730.37,0.003,0.0,6.7451,0.0,2.6675,0.03
80.53,0.4,93.1564,0.23,4,38573370.808,97094.25,0.003,0.0,6.7613,0.0,2.6981,0.03
78.95,0.41,90.1092,0.28,6,37311622.9056,114261.05,0.0029,0.0,6.7321,0.0,2.6423,0.03
80.71,0.39,92.7362,0.24,5,38399378.2368,99730.37,0.003,0.0,6.7451,0.0,2.6675,0.03
79.31,0.41,89.8694,0.28,7,37212314.7888,114229.58,0.0029,0.0,6.7225,0.0,2.6842,0.03
78.95,0.41,90.1092,0.28,6,37311622.9056,114261.05,0.0029,0.0,6.7321,0.0,2.6423,0.03
79.22,0.41,88.5823,0.29,8,36679371.0464,118769.32,0.0028,0.0,6.7139,0.0,2.6373,0.03
79.31,0.41,89.8694,0.28,7,37212314.7888,114229.58,0.0028,0.0,6.7225,0.0,2.6842,0.03
78.05,0.41,86.5612,0.3,9,35842497.0144,125706.65,0.0028,0.0,6.7016,0.0,2.6999,0.03
79.22,0.41,88.5823,0.29,8,36679371.0464,118769.32,0.0028,0.0,6.7139,0.0,2.6373,0.03
78.27,0.41,87.417,0.29,10,36196834.3872,120817.27,0.0028,0.0,6.7026,0.0,2.7425,0.03
78.05,0.41,86.5612,0.3,9,35842497.0144,125706.65,0.0028,0.0,6.7016,0.0,2.6999,0.03
77.65,0.42,85.6312,0.31,11,35457381.2048,127065.06,0.0028,0.0,6.693,0.0,2.7326,0.03
78.27,0.41,87.417,0.29,10,36196834.3872,120817.27,0.0028,0.0,6.7026,0.0,2.7425,0.03
76.66,0.42,83.8013,0.32,12,34699680.2336,132097.08,0.0028,0.0,6.6868,0.0,2.7749,0.03
77.65,0.42,85.6312,0.31,11,35457381.2048,127065.06,0.0028,0.0,6.693,0.0,2.7326,0.03
75.57,0.43,82.3095,0.33,13,34081981.688,136200.1,0.0027,0.0,6.6817,0.0,2.8256,0.03
76.66,0.42,83.8013,0.32,12,34699680.2336,132097.08,0.0027,0.0,6.6868,0.0,2.7749,0.03
75.57,0.43,82.3747,0.33,14,34108995.7968,135292.75,0.0027,0.0,6.687,0.0,2.8401,0.03
75.57,0.43,82.3095,0.33,13,34081981.688,136200.1,0.0027,0.0,6.6817,0.0,2.8256,0.03
75.19,0.43,82.2598,0.33,15,34061404.4336,134683.34,0.0027,0.0,6.6799,0.0,2.9072,0.03
75.57,0.43,82.3747,0.33,14,34108995.7968,135292.75,0.0027,0.0,6.687,0.0,2.8401,0.03
74.41,0.44,80.7983,0.33,16,33456224.176,138201.91,0.0027,0.0,6.6757,0.0,2.9377,0.03
75.19,0.43,82.2598,0.33,15,34061404.4336,134683.34,0.0027,0.0,6.6799,0.0,2.9072,0.03
73.24,0.44,79.3383,0.34,17,32851707.216,142404.28,0.0027,0.0,6.6721,0.0,2.9796,0.03
74.41,0.44,80.7983,0.33,16,33456224.176,138201.91,0.0026,0.0,6.6757,0.0,2.9377,0.03
73.89,0.44,80.3985,0.34,18,33290686.56,139160.81,0.0026,0.0,6.6702,0.0,2.9553,0.03
73.24,0.44,79.3383,0.34,17,32851707.216,142404.28,0.0026,0.0,6.6721,0.0,2.9796,0.03
74.21,0.44,80.3713,0.33,19,33279443.016,138247.16,0.0027,0.0,6.6707,0.0,2.9996,0.03
73.89,0.44,80.3985,0.34,18,33290686.56,139160.81,0.0026,0.0,6.6702,0.0,2.9553,0.03
73.39,0.44,78.7495,0.34,20,32607874.2176,141446.4,0.0026,0.0,6.6674,0.0,3.0448,0.03
74.21,0.44,80.3713,0.33,19,33279443.016,138247.16,0.0026,0.0,6.6707,0.0,2.9996,0.03
73.12,0.44,78.8836,0.34,21,32663399.3552,142103.89,0.0027,0.0,6.6655,0.0,2.9972,0.03
73.39,0.44,78.7495,0.34,20,32607874.2176,141446.4,0.0026,0.0,6.6674,0.0,3.0448,0.03
72.58,0.45,77.6548,0.35,22,32154614.5104,145659.57,0.0026,0.0,6.665,0.0,2.9717,0.03
73.12,0.44,78.8836,0.34,21,32663399.3552,142103.89,0.0027,0.0,6.6655,0.0,2.9972,0.03
72.06,0.45,77.0518,0.35,23,31904939.1792,145404.69,0.0026,0.0,6.6623,0.0,3.0717,0.03
72.58,0.45,77.6548,0.35,22,32154614.5104,145659.57,0.0026,0.0,6.665,0.0,2.9717,0.03
71.73,0.45,76.4928,0.35,24,31673460.8624,146435.42,0.0026,0.0,6.6606,0.0,3.046,0.03
72.06,0.45,77.0518,0.35,23,31904939.1792,145404.69,0.0026,0.0,6.6623,0.0,3.0717,0.03
71.36,0.45,75.6489,0.36,25,31324025.0096,148619.45,0.0026,0.0,6.66,0.0,3.0411,0.03
71.73,0.45,76.4928,0.35,24,31673460.8624,146435.42,0.0025,0.0,6.6606,0.0,3.046,0.03
71.23,0.45,75.7963,0.36,26,31385047.2656,149529.08,0.0025,0.0,6.6595,0.0,2.9616,0.03
71.36,0.45,75.6489,0.36,25,31324025.0096,148619.45,0.0026,0.0,6.66,0.0,3.0411,0.03
69.45,0.46,73.842,0.37,27,30575850.64,151699.42,0.0025,0.0,6.6584,0.0,3.1561,0.03
71.23,0.45,75.7963,0.36,26,31385047.2656,149529.08,0.0025,0.0,6.6595,0.0,2.9616,0.03
71.86,0.45,76.7067,0.35,28,31762035.3328,145759.53,0.0025,0.0,6.657,0.0,3.1355,0.03
69.45,0.46,73.842,0.37,27,30575850.64,151699.42,0.0025,0.0,6.6584,0.0,3.1561,0.03
