acc,acc_sem,cost,cost_sem,epoch,flop,flop_sem,time,time_sem,train_loss,train_loss_sem,val_loss,val_loss_sem
44.58,0.5,100.0,0.0,1,41407104.0,0.0,0.0034,0.0,2.0803,0.0,3.7564,0.04
54.2,0.5,100.0,0.0,2,41407104.0,0.0,0.0035,0.0,1.9384,0.0,3.173,0.04
57.3,0.49,100.0,0.0,3,41407104.0,0.0,0.0034,0.0,1.8754,0.0,3.4361,0.05
61.58,0.49,100.0,0.0,4,41407104.0,0.0,0.0037,0.0,1.8413,0.0,3.0576,0.04
66.6,0.47,100.0,0.0,5,41407104.0,0.0,0.0036,0.0,1.8125,0.0,2.6158,0.04
70.17,0.46,100.0,0.0,6,41407104.0,0.0,0.0034,0.0,1.7919,0.0,2.4536,0.04
72.18,0.45,100.0,0.0,7,41407104.0,0.0,0.0035,0.0,1.7693,0.0,2.3508,0.04
71.06,0.45,100.0,0.0,8,41407104.0,0.0,0.0035,0.0,1.7556,0.0,2.4932,0.04
73.23,0.44,100.0,0.0,9,41407104.0,0.0,0.0038,0.0,1.7448,0.0,2.2663,0.04
69.82,0.46,100.0,0.0,10,41407104.0,0.0,0.0034,0.0,1.7373,0.0,2.5393,0.04
72.94,0.44,100.0,0.0,11,41407104.0,0.0,0.0034,0.0,1.7302,0.0,2.1948,0.04
72.28,0.45,100.0,0.0,12,41407104.0,0.0,0.0034,0.0,1.7195,0.0,2.4269,0.04
75.28,0.43,100.0,0.0,13,41407104.0,0.0,0.0035,0.0,1.7145,0.0,2.0332,0.03
78.03,0.41,100.0,0.0,14,41407104.0,0.0,0.0035,0.0,1.7076,0.0,1.9672,0.04
77.59,0.42,100.0,0.0,15,41407104.0,0.0,0.0036,0.0,1.7048,0.0,1.9559,0.04
75.96,0.43,100.0,0.0,16,41407104.0,0.0,0.0035,0.0,1.6999,0.0,2.0462,0.04
74.83,0.43,100.0,0.0,17,41407104.0,0.0,0.0036,0.0,1.6975,0.0,2.2066,0.04
77.43,0.42,100.0,0.0,18,41407104.0,0.0,0.0036,0.0,1.6926,0.0,2.007,0.04
78.46,0.41,100.0,0.0,19,41407104.0,0.0,0.0036,0.0,1.6898,0.0,1.9288,0.04
78.33,0.41,100.0,0.0,20,41407104.0,0.0,0.0036,0.0,1.6857,0.0,1.9226,0.03
78.7,0.41,100.0,0.0,21,41407104.0,0.0,0.0035,0.0,1.681,0.0,1.8974,0.04
78.86,0.41,100.0,0.0,22,41407104.0,0.0,0.0035,0.0,1.6797,0.0,1.8267,0.03
77.69,0.42,100.0,0.0,23,41407104.0,0.0,0.0035,0.0,1.6771,0.0,1.929,0.03
79.28,0.41,100.0,0.0,24,41407104.0,0.0,0.0035,0.0,1.677,0.0,1.9,0.04
79.04,0.41,100.0,0.0,25,41407104.0,0.0,0.0035,0.0,1.6745,0.0,1.9169,0.04
80.53,0.4,100.0,0.0,26,41407104.0,0.0,0.0034,0.0,1.6725,0.0,1.704,0.03
78.82,0.41,100.0,0.0,27,41407104.0,0.0,0.0034,0.0,1.6686,0.0,1.9707,0.04
79.31,0.41,100.0,0.0,28,41407104.0,0.0,0.0034,0.0,1.6691,0.0,1.8696,0.04
79.32,0.41,100.0,0.0,29,41407104.0,0.0,0.0035,0.0,1.6652,0.0,1.884,0.04
78.98,0.41,100.0,0.0,30,41407104.0,0.0,0.0035,0.0,1.6637,0.0,2.0382,0.04
78.89,0.41,100.0,0.0,31,41407104.0,0.0,0.0035,0.0,1.6625,0.0,1.9838,0.04
79.1,0.41,100.0,0.0,32,41407104.0,0.0,0.0034,0.0,1.6632,0.0,1.9181,0.04
80.76,0.39,100.0,0.0,33,41407104.0,0.0,0.0034,0.0,1.6605,0.0,1.7285,0.03
81.13,0.39,100.0,0.0,34,41407104.0,0.0,0.0035,0.0,1.6578,0.0,1.6942,0.03
77.8,0.42,100.0,0.0,35,41407104.0,0.0,0.0034,0.0,1.6551,0.0,2.0628,0.04
80.33,0.4,100.0,0.0,36,41407104.0,0.0,0.0034,0.0,1.6572,0.0,1.8132,0.03
80.93,0.39,100.0,0.0,37,41407104.0,0.0,0.0034,0.0,1.655,0.0,1.6815,0.03
80.79,0.39,100.0,0.0,38,41407104.0,0.0,0.0034,0.0,1.6537,0.0,1.7645,0.03
80.21,0.4,100.0,0.0,39,41407104.0,0.0,0.0033,0.0,1.6517,0.0,1.808,0.03
82.47,0.38,100.0,0.0,40,41407104.0,0.0,0.0034,0.0,1.653,0.0,1.5777,0.03
81.68,0.39,100.0,0.0,41,41407104.0,0.0,0.0034,0.0,1.6493,0.0,1.7117,0.03
80.63,0.4,100.0,0.0,42,41407104.0,0.0,0.0034,0.0,1.6506,0.0,1.7879,0.03
81.74,0.39,100.0,0.0,43,41407104.0,0.0,0.0034,0.0,1.6516,0.0,1.7436,0.03
82.12,0.38,100.0,0.0,44,41407104.0,0.0,0.0033,0.0,1.6487,0.0,1.5828,0.03
82.43,0.38,100.0,0.0,45,41407104.0,0.0,0.0034,0.0,1.6472,0.0,1.6145,0.03
80.61,0.4,100.0,0.0,46,41407104.0,0.0,0.0034,0.0,1.647,0.0,1.894,0.04
81.63,0.39,100.0,0.0,47,41407104.0,0.0,0.0034,0.0,1.648,0.0,1.7104,0.03
81.85,0.39,100.0,0.0,48,41407104.0,0.0,0.0034,0.0,1.643,0.0,1.6928,0.03
81.15,0.39,100.0,0.0,49,41407104.0,0.0,0.0033,0.0,1.6438,0.0,1.7246,0.03
81.01,0.39,100.0,0.0,50,41407104.0,0.0,0.0034,0.0,1.6421,0.0,1.7125,0.03
79.41,0.4,100.0,0.0,51,41407104.0,0.0,0.0034,0.0,1.6432,0.0,2.0007,0.04
79.73,0.4,100.0,0.0,52,41407104.0,0.0,0.0034,0.0,1.6427,0.0,1.8435,0.04
80.69,0.39,100.0,0.0,53,41407104.0,0.0,0.0034,0.0,1.6431,0.0,1.8585,0.04
82.7,0.38,100.0,0.0,54,41407104.0,0.0,0.0034,0.0,1.6411,0.0,1.6214,0.03
81.86,0.39,100.0,0.0,55,41407104.0,0.0,0.0034,0.0,1.6393,0.0,1.6941,0.03
81.77,0.39,100.0,0.0,56,41407104.0,0.0,0.0034,0.0,1.6403,0.0,1.6896,0.03
80.6,0.4,100.0,0.0,57,41407104.0,0.0,0.0036,0.0,1.6392,0.0,1.8456,0.04
82.24,0.38,100.0,0.0,58,41407104.0,0.0,0.0034,0.0,1.6407,0.0,1.63,0.03
83.01,0.38,100.0,0.0,59,41407104.0,0.0,0.0034,0.0,1.6408,0.0,1.6009,0.03
80.38,0.4,100.0,0.0,60,41407104.0,0.0,0.0034,0.0,1.6388,0.0,1.8138,0.03
82.61,0.38,100.0,0.0,61,41407104.0,0.0,0.0034,0.0,1.6382,0.0,1.605,0.03
81.64,0.39,100.0,0.0,62,41407104.0,0.0,0.0033,0.0,1.6348,0.0,1.7882,0.04
80.8,0.39,100.0,0.0,63,41407104.0,0.0,0.0033,0.0,1.635,0.0,1.9195,0.04
81.41,0.39,100.0,0.0,64,41407104.0,0.0,0.0034,0.0,1.6361,0.0,1.7141,0.03
82.42,0.38,100.0,0.0,65,41407104.0,0.0,0.0034,0.0,1.6359,0.0,1.6111,0.03
84.02,0.37,100.0,0.0,66,41407104.0,0.0,0.0034,0.0,1.6355,0.0,1.538,0.03
82.85,0.38,100.0,0.0,67,41407104.0,0.0,0.0034,0.0,1.6317,0.0,1.6435,0.03
81.43,0.39,100.0,0.0,68,41407104.0,0.0,0.0034,0.0,1.6376,0.0,1.7221,0.03
82.75,0.38,100.0,0.0,69,41407104.0,0.0,0.0034,0.0,1.6329,0.0,1.6669,0.03
82.41,0.38,100.0,0.0,70,41407104.0,0.0,0.0033,0.0,1.6339,0.0,1.7137,0.03
83.19,0.37,100.0,0.0,71,41407104.0,0.0,0.0034,0.0,1.6323,0.0,1.5908,0.03
82.48,0.38,100.0,0.0,72,41407104.0,0.0,0.0035,0.0,1.6328,0.0,1.6793,0.03
83.19,0.37,100.0,0.0,73,41407104.0,0.0,0.0034,0.0,1.631,0.0,1.6654,0.03
82.29,0.38,100.0,0.0,74,41407104.0,0.0,0.0034,0.0,1.6318,0.0,1.6196,0.03
83.02,0.38,100.0,0.0,75,41407104.0,0.0,0.0034,0.0,1.6311,0.0,1.6008,0.03
82.66,0.38,100.0,0.0,76,41407104.0,0.0,0.0034,0.0,1.6294,0.0,1.6094,0.03
83.91,0.37,100.0,0.0,77,41407104.0,0.0,0.0034,0.0,1.6304,0.0,1.5239,0.03
82.35,0.38,100.0,0.0,78,41407104.0,0.0,0.0034,0.0,1.6298,0.0,1.7406,0.03
82.18,0.38,100.0,0.0,79,41407104.0,0.0,0.0034,0.0,1.6294,0.0,1.714,0.03
82.49,0.38,100.0,0.0,80,41407104.0,0.0,0.0034,0.0,1.6295,0.0,1.6998,0.03
81.75,0.39,100.0,0.0,81,41407104.0,0.0,0.0034,0.0,1.6282,0.0,1.7683,0.03
83.32,0.37,100.0,0.0,82,41407104.0,0.0,0.0034,0.0,1.6311,0.0,1.6834,0.03
80.9,0.39,100.0,0.0,83,41407104.0,0.0,0.0033,0.0,1.6283,0.0,1.8524,0.04
83.54,0.37,100.0,0.0,84,41407104.0,0.0,0.0034,0.0,1.6289,0.0,1.6078,0.03
83.01,0.38,100.0,0.0,85,41407104.0,0.0,0.0034,0.0,1.6281,0.0,1.568,0.03
83.28,0.37,100.0,0.0,86,41407104.0,0.0,0.0034,0.0,1.6285,0.0,1.5735,0.03
83.52,0.37,100.0,0.0,87,41407104.0,0.0,0.0034,0.0,1.6271,0.0,1.5859,0.03
83.73,0.37,100.0,0.0,88,41407104.0,0.0,0.0034,0.0,1.6262,0.0,1.5931,0.03
83.24,0.37,100.0,0.0,89,41407104.0,0.0,0.0034,0.0,1.6272,0.0,1.6619,0.03
82.2,0.38,100.0,0.0,90,41407104.0,0.0,0.0034,0.0,1.6284,0.0,1.7172,0.03
82.86,0.38,100.0,0.0,91,41407104.0,0.0,0.0034,0.0,1.628,0.0,1.6832,0.03
84.09,0.37,100.0,0.0,92,41407104.0,0.0,0.0036,0.0,1.6286,0.0,1.5621,0.03
82.92,0.38,100.0,0.0,93,41407104.0,0.0,0.0035,0.0,1.6259,0.0,1.6918,0.03
82.99,0.38,100.0,0.0,94,41407104.0,0.0,0.0036,0.0,1.6281,0.0,1.7042,0.03
82.84,0.38,100.0,0.0,95,41407104.0,0.0,0.0034,0.0,1.626,0.0,1.6342,0.03
83.14,0.37,100.0,0.0,96,41407104.0,0.0,0.0033,0.0,1.6252,0.0,1.7066,0.03
83.61,0.37,100.0,0.0,97,41407104.0,0.0,0.0033,0.0,1.6244,0.0,1.5808,0.03
82.2,0.38,100.0,0.0,98,41407104.0,0.0,0.0034,0.0,1.6258,0.0,1.7988,0.04
83.61,0.37,100.0,0.0,99,41407104.0,0.0,0.0033,0.0,1.6246,0.0,1.5913,0.03
83.16,0.37,100.0,0.0,100,41407104.0,0.0,0.0033,0.0,1.626,0.0,1.6752,0.03
