acc,acc_sem,cost,cost_sem,epoch,flop,flop_sem,time,time_sem,train_loss,train_loss_sem,val_loss,val_loss_sem
95.2443,0.13,100.0,0.0,1,41407104.0,0.0,0.0031,0.0,5.9827,0.0,1.7712,0.01
95.2328,0.13,100.0,0.0,2,41407104.0,0.0,0.0031,0.0,5.9312,0.0,1.7689,0.01
95.2482,0.13,100.0,0.0,3,41407104.0,0.0,0.0031,0.0,5.9275,0.0,1.7649,0.01
95.1829,0.13,100.0,0.0,4,41407104.0,0.0,0.0031,0.0,5.9257,0.0,1.7717,0.01
95.2597,0.13,100.0,0.0,5,41407104.0,0.0,0.0031,0.0,5.9235,0.0,1.7676,0.01
95.2251,0.13,100.0,0.0,6,41407104.0,0.0,0.0031,0.0,5.9236,0.0,1.773,0.01
95.2251,0.13,100.0,0.0,7,41407104.0,0.0,0.0031,0.0,5.9218,0.0,1.7733,0.01
95.1636,0.13,100.0,0.0,8,41407104.0,0.0,0.0031,0.0,5.9216,0.0,1.767,0.01
95.1829,0.13,100.0,0.0,9,41407104.0,0.0,0.0031,0.0,5.92,0.0,1.7687,0.01
95.1982,0.13,100.0,0.0,10,41407104.0,0.0,0.0031,0.0,5.9208,0.0,1.7738,0.01
95.2289,0.13,100.0,0.0,11,41407104.0,0.0,0.0031,0.0,5.9211,0.0,1.7723,0.01
95.2827,0.13,100.0,0.0,12,41407104.0,0.0,0.0031,0.0,5.9203,0.0,1.7676,0.01
95.1829,0.13,100.0,0.0,13,41407104.0,0.0,0.0031,0.0,5.9191,0.0,1.7755,0.01
95.2597,0.13,100.0,0.0,14,41407104.0,0.0,0.0031,0.0,5.9176,0.0,1.7674,0.01
95.2827,0.13,100.0,0.0,15,41407104.0,0.0,0.0031,0.0,5.9182,0.0,1.7676,0.01
95.2635,0.13,100.0,0.0,16,41407104.0,0.0,0.0031,0.0,5.919,0.0,1.7684,0.01
95.2866,0.13,100.0,0.0,17,41407104.0,0.0,0.0031,0.0,5.9175,0.0,1.7697,0.01
95.2405,0.13,100.0,0.0,18,41407104.0,0.0,0.0031,0.0,5.9162,0.0,1.7675,0.01
95.252,0.13,100.0,0.0,19,41407104.0,0.0,0.0031,0.0,5.9159,0.0,1.7736,0.01
95.2635,0.13,100.0,0.0,20,41407104.0,0.0,0.0031,0.0,5.9152,0.0,1.7713,0.01
95.252,0.13,100.0,0.0,21,41407104.0,0.0,0.0031,0.0,5.9177,0.0,1.7661,0.01
95.2558,0.13,100.0,0.0,22,41407104.0,0.0,0.0031,0.0,5.9165,0.0,1.7681,0.01
95.3135,0.13,100.0,0.0,23,41407104.0,0.0,0.0031,0.0,5.9165,0.0,1.7651,0.01
95.156,0.13,100.0,0.0,24,41407104.0,0.0,0.0031,0.0,5.9156,0.0,1.7744,0.01
95.2635,0.13,100.0,0.0,25,41407104.0,0.0,0.0031,0.0,5.9162,0.0,1.7733,0.01
95.2174,0.13,100.0,0.0,26,41407104.0,0.0,0.0031,0.0,5.9146,0.0,1.7655,0.01
95.2674,0.13,99.9971,0.0,27,41405902.3399,1201.66,0.0031,0.0,5.9142,0.0,1.7696,0.01
95.2981,0.13,99.9971,0.0,28,41405902.3399,1201.66,0.0031,0.0,5.9152,0.0,1.7675,0.01
95.1944,0.13,99.9971,0.0,29,41405902.3399,1201.66,0.0031,0.0,5.9128,0.0,1.7714,0.01
95.252,0.13,99.9971,0.0,30,41405902.3399,1201.66,0.003,0.0,5.9131,0.0,1.7655,0.01
95.1752,0.13,99.9942,0.0,31,41404700.6798,1699.37,0.003,0.0,5.9142,0.0,1.7736,0.01
95.1982,0.13,99.9942,0.0,32,41404700.6798,1699.37,0.003,0.0,5.9158,0.0,1.7752,0.01
95.1483,0.13,99.9971,0.0,33,41405902.3399,1201.66,0.0031,0.0,5.9156,0.0,1.7721,0.01
95.1252,0.13,99.9942,0.0,34,41404700.6798,1699.37,0.0031,0.0,5.9136,0.0,1.7741,0.01
95.2482,0.13,99.9942,0.0,35,41404700.6798,1699.37,0.003,0.0,5.9141,0.0,1.7651,0.01
