acc,acc_sem,cost,cost_sem,epoch,flop,flop_sem,time,time_sem,train_loss,train_loss_sem,val_loss,val_loss_sem
89.0135,0.19,100.0,0.0,1,41407104.0,0.0,0.0024,0.0,1.7854,0.0,0.9711,0.01
90.9573,0.18,100.0,0.0,2,41407104.0,0.0,0.0025,0.0,1.576,0.0,0.928,0.01
91.5066,0.17,100.0,0.0,3,41407104.0,0.0,0.0025,0.0,1.5594,0.0,0.9002,0.01
91.7025,0.17,100.0,0.0,4,41407104.0,0.0,0.0024,0.0,1.5514,0.0,0.9177,0.01
92.5131,0.16,100.0,0.0,5,41407104.0,0.0,0.0025,0.0,1.5458,0.0,0.8701,0.01
93.4196,0.15,100.0,0.0,6,41407104.0,0.0,0.0025,0.0,1.5423,0.0,0.8361,0.01
93.9843,0.15,100.0,0.0,7,41407104.0,0.0,0.0025,0.0,1.5409,0.0,0.8198,0.01
93.5272,0.15,100.0,0.0,8,41407104.0,0.0,0.0024,0.0,1.5366,0.0,0.8336,0.01
93.7615,0.15,100.0,0.0,9,41407104.0,0.0,0.0026,0.0,1.5355,0.0,0.8102,0.01
93.5157,0.15,100.0,0.0,10,41407104.0,0.0,0.0025,0.0,1.5332,0.0,0.8312,0.01
93.7231,0.15,100.0,0.0,11,41407104.0,0.0,0.0025,0.0,1.5322,0.0,0.8281,0.01
93.9651,0.15,100.0,0.0,12,41407104.0,0.0,0.0025,0.0,1.5311,0.0,0.8003,0.01
93.654,0.15,100.0,0.0,13,41407104.0,0.0,0.0024,0.0,1.5297,0.0,0.8314,0.01
94.3147,0.14,100.0,0.0,14,41407104.0,0.0,0.0024,0.0,1.5287,0.0,0.7956,0.01
93.9766,0.15,100.0,0.0,15,41407104.0,0.0,0.0024,0.0,1.529,0.0,0.7998,0.01
94.2571,0.14,100.0,0.0,16,41407104.0,0.0,0.0024,0.0,1.5281,0.0,0.8036,0.01
93.1315,0.16,100.0,0.0,17,41407104.0,0.0,0.0025,0.0,1.5259,0.0,0.864,0.01
94.138,0.15,100.0,0.0,18,41407104.0,0.0,0.0025,0.0,1.5273,0.0,0.8004,0.01
93.727,0.15,100.0,0.0,19,41407104.0,0.0,0.0025,0.0,1.5247,0.0,0.8139,0.01
94.4338,0.14,100.0,0.0,20,41407104.0,0.0,0.0025,0.0,1.5237,0.0,0.8053,0.01
94.1994,0.14,100.0,0.0,21,41407104.0,0.0,0.0025,0.0,1.5232,0.0,0.8148,0.01
94.6719,0.14,100.0,0.0,22,41407104.0,0.0,0.0025,0.0,1.5247,0.0,0.7888,0.01
93.5771,0.15,100.0,0.0,23,41407104.0,0.0,0.0024,0.0,1.5225,0.0,0.873,0.01
94.1495,0.15,100.0,0.0,24,41407104.0,0.0,0.0024,0.0,1.5226,0.0,0.804,0.01
94.5337,0.14,100.0,0.0,25,41407104.0,0.0,0.0025,0.0,1.5214,0.0,0.7902,0.01
93.846,0.15,100.0,0.0,26,41407104.0,0.0,0.0024,0.0,1.522,0.0,0.8465,0.01
94.3877,0.14,100.0,0.0,27,41407104.0,0.0,0.0024,0.0,1.5218,0.0,0.8176,0.01
94.2263,0.14,100.0,0.0,28,41407104.0,0.0,0.0024,0.0,1.5198,0.0,0.8086,0.01
93.6962,0.15,100.0,0.0,29,41407104.0,0.0,0.0024,0.0,1.5209,0.0,0.8454,0.01
94.5951,0.14,100.0,0.0,30,41407104.0,0.0,0.0027,0.0,1.5198,0.0,0.8032,0.01
94.4722,0.14,100.0,0.0,31,41407104.0,0.0,0.0026,0.0,1.5199,0.0,0.7935,0.01
93.1815,0.16,100.0,0.0,32,41407104.0,0.0,0.0025,0.0,1.5194,0.0,0.8643,0.01
94.3838,0.14,100.0,0.0,33,41407104.0,0.0,0.0026,0.0,1.5191,0.0,0.81,0.01
94.1418,0.15,100.0,0.0,34,41407104.0,0.0,0.0026,0.0,1.5188,0.0,0.8184,0.01
93.6655,0.15,100.0,0.0,35,41407104.0,0.0,0.0026,0.0,1.5191,0.0,0.8386,0.01
94.2071,0.14,100.0,0.0,36,41407104.0,0.0,0.0024,0.0,1.5179,0.0,0.8253,0.01
93.969,0.15,100.0,0.0,37,41407104.0,0.0,0.0025,0.0,1.5177,0.0,0.8456,0.01
93.7999,0.15,100.0,0.0,38,41407104.0,0.0,0.0025,0.0,1.5176,0.0,0.8484,0.01
94.6028,0.14,100.0,0.0,39,41407104.0,0.0,0.0025,0.0,1.5187,0.0,0.8003,0.01
94.2648,0.14,100.0,0.0,40,41407104.0,0.0,0.0025,0.0,1.5193,0.0,0.8575,0.01
94.8218,0.14,100.0,0.0,41,41407104.0,0.0,0.0025,0.0,1.519,0.0,0.8,0.01
94.453,0.14,100.0,0.0,42,41407104.0,0.0,0.0025,0.0,1.5167,0.0,0.8168,0.01
94.0688,0.15,100.0,0.0,43,41407104.0,0.0,0.0024,0.0,1.5181,0.0,0.8406,0.01
94.2033,0.14,100.0,0.0,44,41407104.0,0.0,0.0024,0.0,1.5176,0.0,0.836,0.01
93.9997,0.15,100.0,0.0,45,41407104.0,0.0,0.0024,0.0,1.5172,0.0,0.8728,0.01
94.3377,0.14,100.0,0.0,46,41407104.0,0.0,0.0025,0.0,1.5179,0.0,0.8356,0.01
93.4004,0.15,100.0,0.0,47,41407104.0,0.0,0.0026,0.0,1.5185,0.0,0.902,0.01
94.2263,0.14,100.0,0.0,48,41407104.0,0.0,0.0025,0.0,1.516,0.0,0.8215,0.01
94.791,0.14,100.0,0.0,49,41407104.0,0.0,0.0024,0.0,1.5156,0.0,0.8002,0.01
94.6719,0.14,100.0,0.0,50,41407104.0,0.0,0.0025,0.0,1.5171,0.0,0.7981,0.01
95.2097,0.13,100.0,0.0,51,41407104.0,0.0,0.0025,0.0,1.5169,0.0,0.7692,0.01
94.1188,0.15,100.0,0.0,52,41407104.0,0.0,0.0024,0.0,1.5159,0.0,0.852,0.01
94.1111,0.15,100.0,0.0,53,41407104.0,0.0,0.0025,0.0,1.5164,0.0,0.8493,0.01
93.7692,0.15,100.0,0.0,54,41407104.0,0.0,0.0026,0.0,1.5163,0.0,0.8823,0.01
94.1572,0.15,100.0,0.0,55,41407104.0,0.0,0.0024,0.0,1.5159,0.0,0.8447,0.01
94.0496,0.15,100.0,0.0,56,41407104.0,0.0,0.0025,0.0,1.517,0.0,0.871,0.01
94.4991,0.14,100.0,0.0,57,41407104.0,0.0,0.0025,0.0,1.5158,0.0,0.8213,0.01
94.1457,0.15,100.0,0.0,58,41407104.0,0.0,0.0024,0.0,1.5156,0.0,0.8446,0.01
94.3493,0.14,100.0,0.0,59,41407104.0,0.0,0.0024,0.0,1.5163,0.0,0.8058,0.01
94.5951,0.14,100.0,0.0,60,41407104.0,0.0,0.0024,0.0,1.5152,0.0,0.8224,0.01
94.6297,0.14,100.0,0.0,61,41407104.0,0.0,0.0024,0.0,1.5151,0.0,0.8034,0.01
94.2187,0.14,100.0,0.0,62,41407104.0,0.0,0.0024,0.0,1.5159,0.0,0.848,0.01
93.6079,0.15,100.0,0.0,63,41407104.0,0.0,0.0024,0.0,1.5153,0.0,0.854,0.01
93.8921,0.15,100.0,0.0,64,41407104.0,0.0,0.0024,0.0,1.5156,0.0,0.862,0.01
93.9037,0.15,100.0,0.0,65,41407104.0,0.0,0.0024,0.0,1.5146,0.0,0.8696,0.01
94.9946,0.14,100.0,0.0,66,41407104.0,0.0,0.0024,0.0,1.5152,0.0,0.7896,0.01
94.6988,0.14,100.0,0.0,67,41407104.0,0.0,0.0024,0.0,1.5159,0.0,0.8105,0.01
94.8986,0.14,100.0,0.0,68,41407104.0,0.0,0.0024,0.0,1.5141,0.0,0.7994,0.01
93.896,0.15,100.0,0.0,69,41407104.0,0.0,0.0025,0.0,1.5143,0.0,0.8654,0.01
94.526,0.14,100.0,0.0,70,41407104.0,0.0,0.0025,0.0,1.5151,0.0,0.8193,0.01
93.2468,0.16,100.0,0.0,71,41407104.0,0.0,0.0025,0.0,1.5145,0.0,0.9105,0.01
94.0151,0.15,100.0,0.0,72,41407104.0,0.0,0.0025,0.0,1.5153,0.0,0.8509,0.01
94.4146,0.14,100.0,0.0,73,41407104.0,0.0,0.0025,0.0,1.5139,0.0,0.8061,0.01
94.599,0.14,100.0,0.0,74,41407104.0,0.0,0.0024,0.0,1.515,0.0,0.8197,0.01
93.9959,0.15,100.0,0.0,75,41407104.0,0.0,0.0024,0.0,1.515,0.0,0.8445,0.01
94.0343,0.15,100.0,0.0,76,41407104.0,0.0,0.0024,0.0,1.5164,0.0,0.8399,0.01
94.5413,0.14,100.0,0.0,77,41407104.0,0.0,0.0024,0.0,1.5134,0.0,0.8147,0.01
94.791,0.14,100.0,0.0,78,41407104.0,0.0,0.0024,0.0,1.5141,0.0,0.7935,0.01
94.3416,0.14,100.0,0.0,79,41407104.0,0.0,0.0024,0.0,1.5149,0.0,0.8313,0.01
94.6451,0.14,100.0,0.0,80,41407104.0,0.0,0.0024,0.0,1.515,0.0,0.8299,0.01
94.3416,0.14,100.0,0.0,81,41407104.0,0.0,0.0024,0.0,1.5149,0.0,0.8223,0.01
94.4645,0.14,100.0,0.0,82,41407104.0,0.0,0.0024,0.0,1.5154,0.0,0.827,0.01
94.5413,0.14,100.0,0.0,83,41407104.0,0.0,0.0024,0.0,1.5153,0.0,0.8364,0.01
94.1495,0.15,100.0,0.0,84,41407104.0,0.0,0.0024,0.0,1.5145,0.0,0.8351,0.01
94.1303,0.15,100.0,0.0,85,41407104.0,0.0,0.0024,0.0,1.515,0.0,0.8596,0.01
93.7654,0.15,100.0,0.0,86,41407104.0,0.0,0.0024,0.0,1.5145,0.0,0.8918,0.01
94.7334,0.14,100.0,0.0,87,41407104.0,0.0,0.0024,0.0,1.5154,0.0,0.8161,0.01
94.0727,0.15,100.0,0.0,88,41407104.0,0.0,0.0024,0.0,1.5147,0.0,0.8572,0.01
94.4914,0.14,100.0,0.0,89,41407104.0,0.0,0.0024,0.0,1.5148,0.0,0.8087,0.01
94.5682,0.14,100.0,0.0,90,41407104.0,0.0,0.0024,0.0,1.5135,0.0,0.8172,0.01
94.5452,0.14,100.0,0.0,91,41407104.0,0.0,0.0024,0.0,1.5135,0.0,0.8203,0.01
94.1918,0.14,100.0,0.0,92,41407104.0,0.0,0.0025,0.0,1.5139,0.0,0.8488,0.01
92.659,0.16,100.0,0.0,93,41407104.0,0.0,0.0024,0.0,1.5147,0.0,0.9671,0.01
94.4568,0.14,100.0,0.0,94,41407104.0,0.0,0.0024,0.0,1.5151,0.0,0.8266,0.01
94.403,0.14,100.0,0.0,95,41407104.0,0.0,0.0024,0.0,1.5148,0.0,0.8293,0.01
93.9344,0.15,100.0,0.0,96,41407104.0,0.0,0.0024,0.0,1.5149,0.0,0.8708,0.01
94.2033,0.14,100.0,0.0,97,41407104.0,0.0,0.0024,0.0,1.5136,0.0,0.8373,0.01
93.8115,0.15,100.0,0.0,98,41407104.0,0.0,0.0025,0.0,1.5148,0.0,0.8549,0.01
94.0189,0.15,100.0,0.0,99,41407104.0,0.0,0.0025,0.0,1.5143,0.0,0.8509,0.01
94.4107,0.14,100.0,0.0,100,41407104.0,0.0,0.0024,0.0,1.5146,0.0,0.8133,0.01
